2f_dr_02_wg_00005_lr_01_bn_mom,2f_dr_02_wg_00005_lr_005_bn_mom
0.45332,0.43296
0.49026,0.46224
0.5092,0.4804
0.52166,0.49038
0.53066,0.50008
0.535,0.50524
0.5405,0.51078
0.54444,0.51436
0.5473,0.5185
0.55034,0.52062
0.55266,0.52294
0.5539,0.52482
0.55672,0.52656
0.55854,0.52918
0.56042,0.53098
0.56098,0.53246
0.5622,0.53374
0.56302,0.5356
0.56454,0.53604
0.56632,0.5373
0.56612,0.53886
0.5672,0.53964
0.56856,0.54084
0.5683,0.54166
0.56972,0.54258
0.57024,0.5432
0.57032,0.5443
0.57096,0.5442
0.5716,0.54544
0.57256,0.54584
0.57282,0.54708
0.57336,0.54696
0.57364,0.54776
0.57368,0.54754
0.5738,0.54912
0.57392,0.54902
0.57486,0.5491
0.57426,0.5494
0.57548,0.54986
0.57582,0.55068
0.57524,0.55112
0.57642,0.55156
0.5761,0.55192
0.57636,0.55188
0.57664,0.55274
0.57706,0.5525
0.57676,0.5532
0.57712,0.55384
0.57798,0.55406
0.5774,0.55496
